Customer ID,Country,Plan,Monthly Spend ($),Tenure (Months),Churned,Signup Source,Industry,Last Active Date
CUST00001,France,Basic,24.44,19,No,Organic,Retail,2025-04-03
CUST00002,France,Basic,31.59,53,No,Referral,Finance,2025-04-06
CUST00003,Canada,Pro,75.31,60,No,Paid Ads,Retail,2025-04-10
CUST00004,France,Basic,32.71,22,Yes,Organic,Technology,2025-03-29
CUST00005,Germany,Basic,17.8,28,No,Organic,Retail,2025-04-14
CUST00006,USA,Basic,33.02,47,No,Paid Ads,Finance,2025-04-01
CUST00007,Australia,Basic,29.88,37,No,Organic,Technology,2025-03-29
CUST00008,Canada,Basic,31.78,39,Yes,Partner,Finance,2025-02-28
CUST00009,Germany,Enterprise,239.2,26,No,Referral,Retail,2025-04-07
CUST00010,Brazil,Pro,91.19,47,No,Paid Ads,Healthcare,2025-03-16
CUST00011,UK,Pro,76.32,17,No,Referral,Finance,2025-03-12
CUST00012,Canada,Pro,83.76,2,No,Referral,Retail,2025-04-24
CUST00013,USA,Basic,27.69,18,No,Partner,Retail,2025-03-28
CUST00014,UK,Enterprise,302.0,36,No,Referral,Technology,2025-03-01
CUST00015,UK,Enterprise,296.53,16,No,Organic,Healthcare,2025-03-22
CUST00016,Australia,Basic,28.49,24,No,Organic,Healthcare,2025-03-13
CUST00017,USA,Basic,24.35,15,No,Referral,Technology,2025-04-09
CUST00018,Brazil,Basic,30.67,9,No,Referral,Technology,2025-04-21
CUST00019,Canada,Basic,35.15,33,No,Organic,Retail,2025-04-03
CUST00020,France,Enterprise,327.94,58,No,Paid Ads,Education,2025-04-07
CUST00021,USA,Pro,64.92,48,No,Paid Ads,Retail,2025-04-02
CUST00022,Germany,Pro,91.0,37,No,Referral,Healthcare,2025-03-21
CUST00023,France,Pro,79.28,37,No,Referral,Finance,2025-03-30
CUST00024,UK,Pro,90.04,5,No,Referral,Finance,2025-03-19
CUST00025,France,Pro,113.72,15,No,Referral,Retail,2025-04-07
CUST00026,Australia,Basic,25.4,51,Yes,Paid Ads,Technology,2025-03-21
CUST00027,France,Pro,80.92,30,No,Paid Ads,Finance,2025-02-27
CUST00028,Germany,Pro,60.12,15,No,Partner,Education,2025-03-16
CUST00029,France,Basic,28.94,22,No,Paid Ads,Education,2025-03-31
CUST00030,Brazil,Pro,75.73,57,No,Organic,Finance,2025-03-04
CUST00031,Brazil,Basic,27.93,11,No,Organic,Education,2025-04-18
CUST00032,Germany,Basic,23.01,25,No,Referral,Retail,2025-03-25
CUST00033,Canada,Basic,28.04,52,No,Referral,Finance,2025-04-26
CUST00034,France,Basic,22.68,6,No,Partner,Healthcare,2025-04-16
CUST00035,France,Basic,28.02,44,No,Partner,Finance,2025-03-17
CUST00036,UK,Basic,28.55,32,No,Paid Ads,Finance,2025-03-11
CUST00037,France,Pro,82.58,52,No,Referral,Technology,2025-03-15
CUST00038,Germany,Pro,79.26,3,No,Partner,Education,2025-03-14
CUST00039,Canada,Basic,30.51,2,No,Paid Ads,Technology,2025-03-21
CUST00040,Germany,Basic,27.84,32,No,Organic,Retail,2025-04-08
CUST00041,Brazil,Basic,29.83,32,No,Organic,Finance,2025-04-01
CUST00042,France,Basic,24.16,55,No,Paid Ads,Healthcare,2025-03-12
CUST00043,Australia,Basic,25.99,52,No,Organic,Healthcare,2025-02-26
CUST00044,Germany,Basic,36.92,48,No,Partner,Technology,2025-03-03
CUST00045,UK,Basic,39.67,3,No,Organic,Retail,2025-03-16
CUST00046,France,Pro,80.81,19,No,Referral,Education,2025-04-10
CUST00047,USA,Pro,72.8,41,No,Referral,Healthcare,2025-04-12
CUST00048,Canada,Basic,28.65,18,No,Partner,Retail,2025-03-04
CUST00049,France,Pro,71.62,31,No,Referral,Technology,2025-04-16
CUST00050,Brazil,Basic,33.39,60,No,Paid Ads,Technology,2025-03-31
CUST00051,USA,Enterprise,248.68,1,No,Referral,Technology,2025-03-25
CUST00052,Australia,Pro,81.19,37,No,Paid Ads,Finance,2025-04-04
CUST00053,UK,Basic,34.82,16,No,Paid Ads,Technology,2025-03-31
CUST00054,Brazil,Pro,69.35,56,No,Organic,Technology,2025-03-18
CUST00055,UK,Pro,88.54,48,No,Partner,Retail,2025-04-25
CUST00056,USA,Pro,97.89,29,No,Referral,Education,2025-03-17
CUST00057,Canada,Basic,15.6,41,No,Organic,Finance,2025-04-16
CUST00058,Australia,Basic,25.98,14,No,Organic,Retail,2025-03-09
CUST00059,France,Pro,89.63,17,No,Partner,Retail,2025-03-03
CUST00060,Brazil,Basic,32.06,59,No,Paid Ads,Finance,2025-03-13
CUST00061,France,Basic,34.39,27,No,Partner,Technology,2025-03-03
CUST00062,Canada,Basic,28.8,33,No,Referral,Technology,2025-04-23
CUST00063,Brazil,Basic,33.13,19,No,Partner,Finance,2025-03-21
CUST00064,Australia,Pro,71.43,17,No,Paid Ads,Education,2025-03-02
CUST00065,Germany,Basic,33.03,60,Yes,Referral,Healthcare,2025-04-06
CUST00066,Australia,Enterprise,289.53,49,No,Partner,Retail,2025-03-27
CUST00067,Canada,Basic,25.25,33,No,Paid Ads,Retail,2025-03-21
CUST00068,UK,Basic,27.02,25,No,Organic,Technology,2025-03-28
CUST00069,Australia,Pro,86.35,23,No,Paid Ads,Technology,2025-03-01
CUST00070,Canada,Basic,24.6,2,No,Organic,Retail,2025-03-08
CUST00071,France,Pro,84.19,39,No,Organic,Finance,2025-04-07
CUST00072,USA,Pro,72.72,35,No,Organic,Education,2025-04-06
CUST00073,USA,Pro,68.17,8,No,Paid Ads,Education,2025-04-06
CUST00074,France,Pro,84.95,12,No,Partner,Finance,2025-04-25
CUST00075,Australia,Basic,22.2,22,No,Paid Ads,Technology,2025-04-02
CUST00076,Australia,Basic,40.0,22,No,Partner,Finance,2025-03-11
CUST00077,Brazil,Basic,25.53,33,No,Partner,Healthcare,2025-03-23
CUST00078,Canada,Basic,28.33,44,No,Organic,Retail,2025-03-13
CUST00079,France,Basic,30.23,47,No,Partner,Education,2025-03-08
CUST00080,Germany,Basic,26.74,16,No,Partner,Healthcare,2025-04-11
CUST00081,Brazil,Basic,35.24,19,No,Organic,Retail,2025-03-17
CUST00082,USA,Basic,26.86,37,No,Partner,Education,2025-04-07
CUST00083,Brazil,Basic,38.91,1,Yes,Organic,Finance,2025-04-15
CUST00084,Canada,Basic,26.61,34,No,Paid Ads,Technology,2025-03-01
CUST00085,Germany,Basic,31.36,5,No,Paid Ads,Healthcare,2025-04-25
CUST00086,Canada,Basic,41.22,12,No,Referral,Healthcare,2025-04-02
CUST00087,Canada,Basic,28.3,28,Yes,Organic,Healthcare,2025-03-19
CUST00088,Brazil,Basic,25.92,46,No,Organic,Retail,2025-04-03
CUST00089,France,Basic,27.25,30,No,Organic,Retail,2025-03-24
CUST00090,Brazil,Basic,35.48,54,No,Paid Ads,Finance,2025-03-21
CUST00091,Germany,Basic,37.21,58,No,Partner,Healthcare,2025-04-16
CUST00092,Canada,Basic,22.82,45,No,Partner,Retail,2025-04-15
CUST00093,Canada,Basic,28.99,32,No,Partner,Retail,2025-04-18
CUST00094,Germany,Basic,30.3,50,No,Referral,Healthcare,2025-03-02
CUST00095,UK,Basic,32.41,12,No,Partner,Technology,2025-03-02
CUST00096,France,Enterprise,314.01,10,No,Partner,Finance,2025-03-31
CUST00097,Canada,Basic,27.27,51,No,Referral,Finance,2025-04-18
CUST00098,USA,Basic,23.66,26,No,Organic,Education,2025-03-05
CUST00099,USA,Pro,73.78,53,No,Organic,Technology,2025-03-07
CUST00100,Germany,Enterprise,289.34,56,No,Paid Ads,Retail,2025-03-09
CUST00101,Australia,Pro,71.71,9,No,Organic,Finance,2025-04-09
CUST00102,USA,Basic,27.2,35,No,Organic,Finance,2025-02-28
CUST00103,Germany,Basic,26.65,32,No,Organic,Technology,2025-03-03
CUST00104,Canada,Basic,35.81,13,No,Organic,Technology,2025-03-31
CUST00105,USA,Basic,33.16,20,No,Partner,Technology,2025-03-11
CUST00106,Australia,Basic,18.73,59,No,Referral,Education,2025-04-21
CUST00107,Canada,Basic,31.96,31,No,Referral,Finance,2025-04-15
CUST00108,UK,Basic,29.38,47,No,Partner,Finance,2025-04-23
CUST00109,France,Basic,35.62,21,No,Referral,Healthcare,2025-04-26
CUST00110,UK,Pro,101.43,57,No,Organic,Retail,2025-03-07
CUST00111,Germany,Enterprise,354.41,47,No,Organic,Retail,2025-03-27
CUST00112,Australia,Pro,84.05,44,No,Paid Ads,Technology,2025-04-09
CUST00113,UK,Pro,65.61,9,No,Paid Ads,Education,2025-04-07
CUST00114,USA,Pro,76.17,5,No,Paid Ads,Education,2025-04-06
CUST00115,UK,Basic,35.3,22,No,Paid Ads,Healthcare,2025-03-10
CUST00116,Brazil,Enterprise,307.12,25,No,Referral,Technology,2025-02-28
CUST00117,Brazil,Basic,29.18,44,No,Organic,Technology,2025-03-18
CUST00118,UK,Basic,39.3,26,No,Organic,Finance,2025-03-25
CUST00119,UK,Basic,27.13,58,No,Organic,Retail,2025-04-26
CUST00120,France,Pro,65.08,41,No,Paid Ads,Education,2025-04-20
CUST00121,UK,Pro,74.6,60,No,Paid Ads,Education,2025-03-30
CUST00122,Canada,Pro,65.8,38,No,Referral,Technology,2025-02-28
CUST00123,Germany,Pro,80.46,47,No,Referral,Retail,2025-02-26
CUST00124,USA,Basic,31.95,11,No,Partner,Education,2025-03-12
CUST00125,USA,Basic,27.64,47,No,Organic,Education,2025-04-04
CUST00126,Brazil,Pro,82.17,31,No,Paid Ads,Education,2025-03-30
CUST00127,Canada,Pro,94.37,11,No,Partner,Technology,2025-03-06
CUST00128,France,Enterprise,278.95,8,No,Partner,Technology,2025-04-10
CUST00129,USA,Basic,25.06,36,No,Organic,Retail,2025-04-18
CUST00130,France,Basic,27.54,50,No,Paid Ads,Technology,2025-03-20
CUST00131,USA,Basic,28.38,17,No,Referral,Technology,2025-04-02
CUST00132,Australia,Basic,21.7,13,No,Paid Ads,Healthcare,2025-03-01
CUST00133,Canada,Basic,23.4,56,No,Organic,Education,2025-04-12
CUST00134,UK,Basic,39.16,5,Yes,Organic,Education,2025-03-04
CUST00135,Canada,Basic,31.48,25,No,Paid Ads,Retail,2025-03-14
CUST00136,UK,Pro,69.03,13,No,Partner,Technology,2025-03-09
CUST00137,France,Basic,31.09,5,No,Paid Ads,Finance,2025-02-28
CUST00138,Brazil,Enterprise,285.47,53,No,Paid Ads,Finance,2025-04-12
CUST00139,Germany,Pro,73.56,21,No,Organic,Finance,2025-04-19
CUST00140,France,Basic,36.78,51,No,Referral,Healthcare,2025-04-10
CUST00141,Brazil,Basic,31.68,34,No,Paid Ads,Education,2025-03-02
CUST00142,Canada,Basic,32.47,26,No,Organic,Healthcare,2025-04-19
CUST00143,Brazil,Basic,27.41,1,No,Organic,Healthcare,2025-03-23
CUST00144,Canada,Basic,34.46,30,No,Paid Ads,Healthcare,2025-04-09
CUST00145,UK,Basic,16.96,37,No,Referral,Finance,2025-04-01
CUST00146,Canada,Pro,73.45,51,No,Organic,Finance,2025-03-26
CUST00147,Germany,Pro,80.54,18,No,Referral,Education,2025-03-22
CUST00148,Brazil,Basic,31.2,34,No,Organic,Education,2025-04-01
CUST00149,UK,Basic,27.57,55,No,Partner,Technology,2025-03-02
CUST00150,UK,Pro,93.34,29,No,Organic,Retail,2025-03-14
CUST00151,UK,Enterprise,248.9,24,Yes,Paid Ads,Technology,2025-03-02
CUST00152,UK,Pro,79.44,2,No,Organic,Retail,2025-04-14
CUST00153,Australia,Pro,78.77,57,No,Partner,Education,2025-03-10
CUST00154,France,Basic,29.62,11,No,Referral,Healthcare,2025-03-28
CUST00155,Australia,Pro,74.86,3,No,Organic,Healthcare,2025-04-03
CUST00156,Australia,Basic,24.7,32,No,Paid Ads,Education,2025-02-26
CUST00157,USA,Basic,25.92,21,No,Partner,Retail,2025-03-23
CUST00158,Australia,Basic,27.2,12,No,Paid Ads,Education,2025-03-20
CUST00159,Germany,Basic,39.82,9,No,Organic,Education,2025-03-21
CUST00160,Australia,Basic,30.18,22,No,Referral,Retail,2025-03-29
CUST00161,France,Pro,88.51,49,No,Referral,Technology,2025-03-01
CUST00162,UK,Enterprise,281.39,47,No,Partner,Education,2025-03-06
CUST00163,Germany,Basic,22.42,24,No,Referral,Technology,2025-04-08
CUST00164,Canada,Basic,36.83,59,No,Paid Ads,Healthcare,2025-03-22
CUST00165,France,Pro,80.29,47,Yes,Partner,Finance,2025-03-03
CUST00166,Australia,Pro,89.69,38,No,Referral,Healthcare,2025-04-14
CUST00167,Australia,Basic,26.22,10,No,Organic,Education,2025-03-23
CUST00168,UK,Pro,65.78,22,No,Paid Ads,Healthcare,2025-04-12
CUST00169,Brazil,Basic,31.09,4,No,Referral,Healthcare,2025-03-21
CUST00170,Germany,Pro,89.11,18,No,Partner,Finance,2025-03-30
CUST00171,Australia,Basic,37.62,49,No,Partner,Finance,2025-03-11
CUST00172,France,Basic,32.69,37,No,Organic,Education,2025-03-05
CUST00173,Australia,Pro,60.86,45,No,Referral,Retail,2025-04-01
CUST00174,Brazil,Enterprise,328.24,53,No,Paid Ads,Education,2025-04-23
CUST00175,Canada,Basic,26.75,11,No,Paid Ads,Finance,2025-03-15
CUST00176,USA,Pro,75.13,24,No,Organic,Finance,2025-04-19
CUST00177,Germany,Basic,17.49,36,No,Organic,Healthcare,2025-03-22
CUST00178,Germany,Pro,86.85,20,No,Paid Ads,Healthcare,2025-04-15
CUST00179,Germany,Pro,74.23,56,No,Partner,Finance,2025-03-30
CUST00180,Canada,Pro,87.55,2,No,Organic,Retail,2025-04-18
CUST00181,Brazil,Basic,34.67,6,No,Partner,Finance,2025-04-06
CUST00182,Canada,Pro,72.38,20,No,Partner,Retail,2025-03-06
CUST00183,Australia,Basic,31.3,38,No,Paid Ads,Retail,2025-04-09
CUST00184,Germany,Basic,25.48,36,No,Paid Ads,Healthcare,2025-04-14
CUST00185,France,Basic,26.26,5,Yes,Referral,Healthcare,2025-04-18
CUST00186,Australia,Enterprise,235.84,13,No,Partner,Technology,2025-03-14
CUST00187,Germany,Basic,29.64,38,No,Paid Ads,Healthcare,2025-03-16
CUST00188,Germany,Basic,24.88,49,No,Referral,Finance,2025-03-08
CUST00189,Brazil,Pro,86.84,11,No,Referral,Technology,2025-04-25
CUST00190,Germany,Basic,29.28,35,No,Paid Ads,Education,2025-04-09
CUST00191,Germany,Pro,85.32,60,No,Organic,Education,2025-03-08
CUST00192,Canada,Basic,33.48,5,Yes,Referral,Education,2025-02-26
CUST00193,UK,Pro,77.26,42,No,Organic,Finance,2025-03-12
CUST00194,Canada,Pro,86.08,39,No,Paid Ads,Healthcare,2025-04-12
CUST00195,France,Pro,87.08,15,No,Paid Ads,Finance,2025-03-05
CUST00196,USA,Basic,41.04,47,No,Partner,Healthcare,2025-03-12
CUST00197,UK,Basic,31.18,51,No,Partner,Healthcare,2025-04-17
CUST00198,USA,Basic,33.85,51,No,Paid Ads,Healthcare,2025-03-14
CUST00199,Germany,Basic,32.55,52,No,Organic,Technology,2025-03-02
CUST00200,Germany,Basic,36.24,29,No,Partner,Retail,2025-03-03
CUST00201,UK,Basic,34.15,4,No,Referral,Healthcare,2025-04-15
CUST00202,Brazil,Pro,71.44,59,No,Partner,Technology,2025-03-11
CUST00203,France,Basic,18.78,45,No,Paid Ads,Healthcare,2025-04-09
CUST00204,Canada,Basic,33.38,29,No,Referral,Healthcare,2025-04-10
CUST00205,Germany,Basic,37.07,27,No,Organic,Healthcare,2025-03-25
CUST00206,UK,Pro,75.26,36,No,Partner,Finance,2025-04-25
CUST00207,Brazil,Basic,24.11,23,No,Partner,Finance,2025-04-17
CUST00208,Australia,Enterprise,279.59,12,No,Organic,Healthcare,2025-03-17
CUST00209,Australia,Basic,28.66,40,No,Organic,Retail,2025-04-13
CUST00210,France,Enterprise,286.8,36,No,Partner,Finance,2025-03-09
CUST00211,Brazil,Pro,73.97,9,No,Partner,Finance,2025-04-19
CUST00212,USA,Pro,93.02,40,No,Referral,Healthcare,2025-03-14
CUST00213,UK,Enterprise,290.12,26,No,Paid Ads,Healthcare,2025-04-16
CUST00214,UK,Basic,27.65,57,No,Referral,Healthcare,2025-04-18
CUST00215,UK,Basic,32.69,47,No,Partner,Education,2025-03-14
CUST00216,Brazil,Basic,23.21,52,No,Organic,Healthcare,2025-02-26
CUST00217,USA,Pro,77.9,26,No,Organic,Education,2025-04-23
CUST00218,Canada,Basic,25.26,18,No,Organic,Retail,2025-03-13
CUST00219,Brazil,Enterprise,286.7,59,No,Organic,Finance,2025-03-20
CUST00220,Canada,Basic,30.41,7,No,Organic,Technology,2025-03-23
CUST00221,Canada,Basic,35.19,43,No,Paid Ads,Finance,2025-04-18
CUST00222,Germany,Basic,26.51,21,No,Organic,Technology,2025-02-28
CUST00223,Canada,Enterprise,368.3,22,No,Partner,Education,2025-04-09
CUST00224,Brazil,Enterprise,251.12,49,No,Referral,Finance,2025-03-14
CUST00225,Australia,Basic,23.19,56,No,Organic,Finance,2025-03-25
CUST00226,UK,Basic,20.44,29,No,Organic,Technology,2025-03-30
CUST00227,USA,Basic,31.52,1,No,Referral,Technology,2025-03-12
CUST00228,France,Basic,35.83,2,No,Partner,Healthcare,2025-04-01
CUST00229,France,Basic,37.96,4,Yes,Paid Ads,Retail,2025-04-09
CUST00230,Australia,Pro,79.82,39,No,Paid Ads,Retail,2025-03-20
CUST00231,France,Basic,30.32,33,Yes,Referral,Technology,2025-04-01
CUST00232,Brazil,Basic,34.76,50,No,Organic,Technology,2025-03-04
CUST00233,Brazil,Basic,21.89,23,No,Organic,Education,2025-03-24
CUST00234,Australia,Basic,31.7,54,No,Partner,Education,2025-04-14
CUST00235,USA,Basic,30.72,8,No,Referral,Retail,2025-02-27
CUST00236,Brazil,Basic,34.89,14,No,Partner,Healthcare,2025-03-16
CUST00237,USA,Pro,77.24,55,No,Partner,Education,2025-03-21
CUST00238,France,Basic,24.71,7,No,Partner,Finance,2025-04-12
CUST00239,Germany,Pro,93.67,1,No,Paid Ads,Technology,2025-04-17
CUST00240,France,Basic,34.79,42,No,Referral,Technology,2025-03-27
CUST00241,Brazil,Basic,35.93,9,No,Partner,Healthcare,2025-03-27
CUST00242,Germany,Basic,26.65,52,No,Referral,Education,2025-04-06
CUST00243,Brazil,Pro,81.66,59,No,Paid Ads,Retail,2025-03-19
CUST00244,UK,Pro,70.24,17,No,Partner,Finance,2025-02-26
CUST00245,Brazil,Basic,34.35,25,No,Partner,Technology,2025-03-15
CUST00246,Australia,Basic,35.29,43,No,Partner,Education,2025-04-20
CUST00247,USA,Basic,31.49,37,Yes,Partner,Education,2025-03-23
CUST00248,Canada,Enterprise,318.68,21,No,Partner,Finance,2025-03-23
CUST00249,UK,Basic,29.26,38,No,Referral,Education,2025-04-22
CUST00250,UK,Basic,26.6,42,No,Referral,Technology,2025-03-26
CUST00251,USA,Basic,34.56,34,No,Paid Ads,Retail,2025-03-11
CUST00252,Canada,Pro,70.83,7,No,Partner,Healthcare,2025-04-25
CUST00253,Australia,Pro,94.04,46,Yes,Paid Ads,Healthcare,2025-04-11
CUST00254,France,Basic,27.52,43,No,Partner,Healthcare,2025-03-26
CUST00255,Brazil,Basic,28.87,36,No,Organic,Retail,2025-04-06
CUST00256,UK,Basic,36.04,35,No,Paid Ads,Healthcare,2025-03-16
CUST00257,France,Basic,21.23,47,No,Paid Ads,Education,2025-03-01
CUST00258,France,Basic,29.38,43,No,Referral,Healthcare,2025-04-23
CUST00259,Australia,Enterprise,311.24,2,No,Referral,Healthcare,2025-03-21
CUST00260,France,Basic,24.76,17,No,Referral,Education,2025-04-24
CUST00261,France,Pro,70.55,35,No,Partner,Education,2025-03-06
CUST00262,UK,Pro,103.03,44,No,Referral,Finance,2025-04-19
CUST00263,USA,Basic,28.46,59,No,Paid Ads,Education,2025-03-21
CUST00264,USA,Basic,26.71,10,No,Paid Ads,Finance,2025-02-26
CUST00265,Canada,Basic,33.46,17,No,Partner,Education,2025-03-13
CUST00266,France,Pro,92.86,6,No,Referral,Retail,2025-04-13
CUST00267,Brazil,Enterprise,340.65,41,No,Paid Ads,Education,2025-04-10
CUST00268,Canada,Basic,35.14,10,No,Referral,Finance,2025-04-06
CUST00269,UK,Enterprise,262.47,7,Yes,Organic,Technology,2025-03-02
CUST00270,Canada,Pro,106.06,9,No,Referral,Retail,2025-02-27
CUST00271,USA,Basic,36.78,31,No,Referral,Finance,2025-04-24
CUST00272,France,Pro,76.41,18,No,Partner,Retail,2025-04-07
CUST00273,Brazil,Pro,67.26,44,No,Organic,Technology,2025-04-25
CUST00274,UK,Basic,37.07,37,No,Partner,Healthcare,2025-04-20
CUST00275,Germany,Basic,37.22,56,No,Referral,Finance,2025-03-07
CUST00276,USA,Pro,60.95,25,No,Referral,Healthcare,2025-04-24
CUST00277,USA,Basic,35.05,2,Yes,Organic,Healthcare,2025-04-04
CUST00278,Germany,Pro,78.04,30,Yes,Organic,Technology,2025-03-03
CUST00279,France,Basic,33.2,59,No,Organic,Finance,2025-03-01
CUST00280,Canada,Basic,29.14,49,No,Referral,Retail,2025-03-12
CUST00281,Canada,Basic,34.6,47,No,Organic,Technology,2025-04-08
CUST00282,Brazil,Basic,31.57,39,No,Partner,Technology,2025-03-19
CUST00283,Australia,Pro,79.91,56,No,Paid Ads,Technology,2025-03-14
CUST00284,Germany,Basic,29.33,37,Yes,Partner,Healthcare,2025-03-09
CUST00285,UK,Basic,29.83,49,No,Partner,Education,2025-04-02
CUST00286,Australia,Basic,31.17,59,No,Organic,Technology,2025-04-10
CUST00287,France,Pro,78.34,56,No,Organic,Finance,2025-03-07
CUST00288,France,Pro,71.74,13,No,Paid Ads,Education,2025-04-12
CUST00289,France,Pro,78.51,29,No,Organic,Finance,2025-03-11
CUST00290,Canada,Pro,73.41,45,No,Paid Ads,Technology,2025-03-31
CUST00291,USA,Basic,27.92,58,No,Paid Ads,Retail,2025-03-09
CUST00292,Germany,Basic,29.48,5,No,Partner,Technology,2025-04-16
CUST00293,Germany,Basic,42.51,49,No,Referral,Retail,2025-03-26
CUST00294,Canada,Basic,32.35,50,No,Referral,Education,2025-04-04
CUST00295,France,Enterprise,297.39,13,No,Partner,Retail,2025-03-11
CUST00296,France,Basic,34.73,9,No,Paid Ads,Education,2025-04-02
CUST00297,Brazil,Pro,57.54,59,No,Paid Ads,Healthcare,2025-03-04
CUST00298,USA,Pro,71.22,25,No,Paid Ads,Finance,2025-03-13
CUST00299,UK,Basic,32.53,11,No,Paid Ads,Retail,2025-04-11
CUST00300,USA,Basic,29.0,15,Yes,Paid Ads,Education,2025-03-11
CUST00301,Australia,Pro,80.46,37,No,Referral,Healthcare,2025-03-10
CUST00302,USA,Pro,73.69,5,No,Partner,Education,2025-03-18
CUST00303,France,Basic,30.22,51,No,Partner,Education,2025-04-13
CUST00304,Australia,Basic,35.15,34,No,Partner,Healthcare,2025-04-03
CUST00305,USA,Pro,81.57,16,No,Organic,Healthcare,2025-04-10
CUST00306,France,Pro,97.31,59,No,Referral,Technology,2025-04-12
CUST00307,UK,Basic,31.59,60,No,Organic,Retail,2025-03-07
CUST00308,Canada,Pro,73.7,58,No,Organic,Education,2025-03-01
CUST00309,Australia,Pro,82.3,18,No,Organic,Finance,2025-03-07
CUST00310,Germany,Pro,78.48,29,No,Partner,Education,2025-03-03
CUST00311,Canada,Basic,28.76,41,No,Partner,Healthcare,2025-03-02
CUST00312,USA,Basic,27.03,60,Yes,Partner,Education,2025-03-28
CUST00313,Germany,Pro,76.09,7,No,Referral,Education,2025-03-28
CUST00314,France,Enterprise,279.89,28,No,Organic,Finance,2025-04-25
CUST00315,UK,Enterprise,286.61,27,No,Partner,Healthcare,2025-03-01
CUST00316,UK,Pro,81.94,17,No,Partner,Technology,2025-03-31
CUST00317,USA,Basic,27.6,50,No,Partner,Retail,2025-03-10
CUST00318,UK,Pro,81.28,12,No,Referral,Education,2025-03-10
CUST00319,USA,Basic,37.83,58,Yes,Partner,Technology,2025-03-15
CUST00320,Brazil,Basic,29.67,34,No,Organic,Technology,2025-03-24
CUST00321,Germany,Basic,23.85,55,No,Partner,Retail,2025-03-21
CUST00322,Canada,Basic,29.11,32,No,Referral,Technology,2025-03-16
CUST00323,Brazil,Pro,67.2,17,No,Partner,Healthcare,2025-04-24
CUST00324,Brazil,Basic,34.36,29,No,Organic,Finance,2025-03-18
CUST00325,UK,Basic,23.86,57,No,Paid Ads,Education,2025-04-03
CUST00326,Germany,Basic,38.3,58,No,Partner,Retail,2025-04-03
CUST00327,USA,Basic,23.74,15,No,Paid Ads,Finance,2025-03-06
CUST00328,UK,Basic,37.22,60,No,Organic,Technology,2025-03-12
CUST00329,Germany,Pro,87.08,46,No,Organic,Finance,2025-03-22
CUST00330,Brazil,Basic,33.61,29,No,Organic,Healthcare,2025-03-07
CUST00331,USA,Basic,30.98,46,No,Paid Ads,Healthcare,2025-04-16
CUST00332,France,Basic,33.55,7,No,Referral,Technology,2025-04-03
CUST00333,France,Pro,66.42,57,No,Referral,Healthcare,2025-03-13
